LOCATION,Year,AveSumMass,lng,lat,col
Estuary,2010,20.25366667,153.572024,-28.830376,#00cd00
Estuary,2014,51.565,153.572024,-28.830376,#00cd00
Estuary,2015,49.447,153.572024,-28.830376,#00cd00
Estuary,2016,42.679,153.572024,-28.830376,#00cd00
Estuary,2011,17.60833333,153.572024,-28.830376,#00cd00
Landfill,2004,8154.25,153.5473596,-28.84151871,#C30800
Landfill,2005,8362.25,153.5473596,-28.84151871,#C30800
Landfill,2006,3842.8,153.5473596,-28.84151871,#C30800
Landfill,2007,3551.6,153.5473596,-28.84151871,#C30800
Landfill,2008,3140.8,153.5473596,-28.84151871,#C30800
Landfill,2009,1600.876,153.5473596,-28.84151871,#C30800
Landfill,2010,1051.897,153.5473596,-28.84151871,#C30800
Landfill,2011,2080.997667,153.5473596,-28.84151871,#C30800
Landfill,2012,1916.344,153.5473596,-28.84151871,#C30800
Landfill,2013,1105.063667,153.5473596,-28.84151871,#C30800
Landfill,2014,745.8093333,153.5473596,-28.84151871,#FFA500
Landfill,2015,517.487,153.5473596,-28.84151871,#FFA500
Landfill,2016,353.626,153.5473596,-28.84151871,#FFFF00
Murphs,2014,85.62,153.5519587,-28.8405947,#00cd00
Murphs,2015,43.02,153.5519587,-28.8405947,#00cd00
Quarry Lake,2004,349.138,153.5570926,-28.83171389,#FFFF00
Quarry Lake,2005,406.8706667,153.5570926,-28.83171389,#FFFF00
Quarry Lake,2006,444.5993333,153.5570926,-28.83171389,#FFFF00
Quarry Lake,2007,538.2336667,153.5570926,-28.83171389,#FFA500
Quarry Lake,2008,361.325,153.5570926,-28.83171389,#FFFF00
Quarry Lake,2009,167.7586667,153.5570926,-28.83171389,#00cd00
Quarry Lake,2010,97.33666667,153.5570926,-28.83171389,#00cd00
Quarry Lake,2011,63.316,153.5570926,-28.83171389,#00cd00
Quarry Lake,2012,154.9316667,153.5570926,-28.83171389,#00cd00
Quarry Lake,2013,496.576,153.5570926,-28.83171389,#FFFF00
Quarry Lake,2014,67.23066667,153.5570926,-28.83171389,#00cd00
Quarry Lake,2015,7.460666667,153.5570926,-28.83171389,#00cd00
Quarry Lake,2016,6.43,153.5570926,-28.83171389,#00cd00
Racecourse,2008,43.12,153.5667541,-28.85037501,#00cd00
Racecourse,2009,138.061,153.5667541,-28.85037501,#00cd00
Sewerworks,2015,68.32,153.5441871,-28.8561012,#00cd00
Southern Paddock,2004,348.5013333,153.562744,-28.837776,#FFFF00
Southern Paddock,2005,402.7323333,153.562744,-28.837776,#FFFF00
Southern Paddock,2006,444.5793333,153.562744,-28.837776,#FFFF00
Southern Paddock,2007,545.7003333,153.562744,-28.837776,#FFA500
Southern Paddock,2008,361.025,153.562744,-28.837776,#FFFF00
Southern Paddock,2009,121.48,153.562744,-28.837776,#00cd00
Southern Paddock,2010,84.43433333,153.562744,-28.837776,#00cd00
Southern Paddock - Buffer,2011,4.954666667,153.56195,-28.83596,#00cd00
Southern Paddock - Buffer,2012,15.98866667,153.56195,-28.83596,#00cd00
Southern Paddock - Buffer,2013,16.13166667,153.56195,-28.83596,#00cd00
Southern Paddock - Buffer,2014,15.20166667,153.56195,-28.83596,#00cd00
Southern Paddock - Buffer,2015,138.215,153.56195,-28.83596,#00cd00
Southern Paddock - Buffer,2016,3.719666667,153.56195,-28.83596,#00cd00
Southern Paddock - Cattle,2011,29.90333333,153.561375,-28.839031,#00cd00
Southern Paddock - Cattle,2012,104.104,153.561375,-28.839031,#00cd00
Southern Paddock - Cattle,2013,219.9246667,153.561375,-28.839031,#FFFF00
Southern Paddock - Cattle,2014,261.075,153.561375,-28.839031,#FFFF00
Southern Paddock - Cattle,2015,146.4566667,153.561375,-28.839031,#00cd00
Southern Paddock - Cattle,2016,9.94,153.561375,-28.839031,#00cd00
Teven Road Wetland,2014,111.779,153.5190792,-28.85495196,#00cd00
Teven Road Wetland,2015,275.698,153.5190792,-28.85495196,#FFFF00
Teven Road Wetland,2016,348.8805,153.5190792,-28.85495196,#FFFF00
Western Paddock,2004,564.156,153.545945,-28.837843,#FFA500
Western Paddock,2005,302.4513333,153.545945,-28.837843,#FFFF00
Western Paddock,2006,424.6523333,153.545945,-28.837843,#FFFF00
Western Paddock,2007,885.5586667,153.545945,-28.837843,#FFA500
Western Paddock,2008,614.4446667,153.545945,-28.837843,#FFA500
Western Paddock,2009,181.8233333,153.545945,-28.837843,#00cd00
Western Paddock,2010,201.729,153.545945,-28.837843,#FFFF00
Western Paddock - Buffer,2011,28.51333333,153.54737,-28.836436,#00cd00
Western Paddock - Buffer,2012,8.706333333,153.54737,-28.836436,#00cd00
Western Paddock - Buffer,2013,46.047,153.54737,-28.836436,#00cd00
Western Paddock - Buffer,2014,52.53666667,153.54737,-28.836436,#00cd00
Western Paddock - Buffer,2015,47.8,153.54737,-28.836436,#00cd00
Western Paddock - Buffer,2016,32.59966667,153.54737,-28.836436,#00cd00
Western Paddock - Cattle,2011,75.64666667,153.545132,-28.839693,#00cd00
Western Paddock - Cattle,2012,357.6293333,153.545132,-28.839693,#FFFF00
Western Paddock - Cattle,2013,237.2796667,153.545132,-28.839693,#FFFF00
Western Paddock - Cattle,2014,38.04,153.545132,-28.839693,#00cd00
Western Paddock - Cattle,2015,208.6533333,153.545132,-28.839693,#FFFF00
Western Paddock - Cattle,2016,21.715,153.545132,-28.839693,#00cd00